,ward,wardcode,totalhouseholds,broom1,broom1p,broom2,broom2p,broom3,broom3p,broom4,broom4p,rat2,rat2p,rat1,rat1p,rat0,rat0p,rat-1,rat-1p,rat-2,rat-2p,car0,car0p,car1,car1p,car2,car2p,car3,car3p,nodis,nodisp,onedis,onedisp,twodis,twodisp,heat0,heat0p,heat1,heat1p,heatnore2,heatnore2p,heatrenew2,heatrenew2p,own,ownp,shareo,shareop,socrent,socrentp,prirent,prirentp,rentfree,rentfreep,tr2,tr2p,tr25,tr25p,tr510,tr510p,tr1020,tr1020p,tr2030,tr2030p,tr3040,tr3040p,tr4060,tr4060p,tr60,tr60p,ptime,ptimep,par15,par15p,par1630,par1630p,ftime,ftimep,f3148,f3148p,f49,f49p
222,Davenport and Cale Green,E05000787,"6,643",601,9.0,"2,263",34.1,"3,048",45.9,730,11.0,"1,773",26.7,"2,602",39.2,"1,991",30.0,235,3.5,42,0.6,"1,679",25.3,"3,124",47.0,"1,487",22.4,353,5.3,"4,183",63.0,"1,919",28.9,541,8.1,99,1.5,66,1.0,588,8.9,19,0.3,"3,813",57.4,81,1.2,"1,510",22.7,"1,227",18.5,11,0.2,929,12.2,"1,539",20.2,917,12.0,663,8.7,117,1.5,37,0.5,36,0.5,48,0.6,"2,199",28.9,674,8.8,"1,525",20.0,"5,421",71.1,"4,834",63.4,587,7.7
223,Edgeley and Cheadle Heath,E05000788,"6,360",531,8.3,"2,777",43.7,"2,564",40.3,488,7.7,"1,605",25.2,"2,652",41.7,"1,846",29.0,226,3.6,30,0.5,"1,709",26.9,"2,960",46.5,"1,394",21.9,296,4.7,"4,295",67.5,"1,662",26.1,402,6.3,122,1.9,60,0.9,505,7.9,12,0.2,"3,916",61.6,64,1.0,"1,002",15.8,"1,371",21.6,6,0.1,853,11.7,"1,187",16.2,"1,122",15.3,605,8.3,98,1.3,36,0.5,55,0.8,50,0.7,"1,923",26.3,589,8.0,"1,334",18.2,"5,397",73.7,"4,875",66.6,522,7.1
224,Hazel Grove,E05000789,"6,066",426,7.0,"1,539",25.4,"2,807",46.3,"1,294",21.3,"2,552",42.1,"2,179",36.0,"1,218",20.1,101,1.7,11,0.2,"1,019",16.8,"2,580",42.5,"1,892",31.2,576,9.5,"4,170",68.7,"1,529",25.2,367,6.1,54,0.9,25,0.4,411,6.8,8,0.1,"4,767",78.6,63,1.0,396,6.5,839,13.8,1,0.0,821,12.3,791,11.9,823,12.3,849,12.7,91,1.4,44,0.7,37,0.6,60,0.9,"1,907",28.6,616,9.2,"1,291",19.3,"4,768",71.4,"4,149",62.2,619,9.3
225,Heald Green,E05000790,"5,000",170,3.4,796,15.9,"2,722",54.4,"1,312",26.2,"2,315",46.3,"1,696",33.9,839,16.8,118,2.4,32,0.6,621,12.4,"2,019",40.4,"1,752",35.0,608,12.2,"3,307",66.1,"1,321",26.4,372,7.4,39,0.8,30,0.6,287,5.7,10,0.2,"4,212",84.3,34,0.7,236,4.7,515,10.3,1,0.0,442,7.7,717,12.5,869,15.1,690,12.0,134,2.3,24,0.4,56,1.0,46,0.8,"1,813",31.5,600,10.4,"1,213",21.1,"3,942",68.5,"3,470",60.3,472,8.2
226,Heatons North,E05000791,"5,945",811,13.6,"1,168",19.6,"1,970",33.1,"1,996",33.6,"2,688",45.2,"1,778",29.9,"1,326",22.3,136,2.3,17,0.3,"1,051",17.7,"2,617",44.0,"1,835",30.9,442,7.4,"4,171",70.2,"1,447",24.3,327,5.5,92,1.5,34,0.6,378,6.4,23,0.4,"4,307",72.5,69,1.2,521,8.8,"1,045",17.6,2,0.0,457,6.6,848,12.2,"1,164",16.7,435,6.2,73,1.0,36,0.5,60,0.9,59,0.8,"1,826",26.2,616,8.8,"1,210",17.3,"5,152",73.8,"4,311",61.8,841,12.1
227,Heatons South,E05000792,"6,007",566,9.4,"1,427",23.8,"2,570",42.8,"1,444",24.0,"2,440",40.6,"2,158",35.9,"1,278",21.3,104,1.7,27,0.4,888,14.8,"2,874",47.8,"1,826",30.4,419,7.0,"4,300",71.6,"1,379",23.0,328,5.5,85,1.4,31,0.5,356,5.9,30,0.5,"4,610",76.7,39,0.6,452,7.5,903,15.0,3,0.0,527,7.4,897,12.7,"1,208",17.0,519,7.3,97,1.4,39,0.6,54,0.8,53,0.7,"2,076",29.3,750,10.6,"1,326",18.7,"5,016",70.7,"4,341",61.2,675,9.5
228,Manor (Stockport),E05000793,"6,226",579,9.3,"2,147",34.5,"2,935",47.1,565,9.1,"1,788",28.7,"2,507",40.3,"1,762",28.3,150,2.4,19,0.3,"1,426",22.9,"2,808",45.1,"1,586",25.5,406,6.5,"4,090",65.7,"1,732",27.8,404,6.5,106,1.7,55,0.9,441,7.1,9,0.1,"4,129",66.3,122,2.0,880,14.1,"1,092",17.5,5,0.1,"1,056",14.6,"1,342",18.6,921,12.7,673,9.3,64,0.9,28,0.4,33,0.5,43,0.6,"2,096",29.0,615,8.5,"1,481",20.5,"5,130",71.0,"4,634",64.1,496,6.9
229,Marple North,E05000794,"5,194",170,3.3,879,16.9,"2,079",40.0,"2,066",39.8,"2,984",57.4,"1,546",29.7,615,11.8,45,0.9,7,0.1,543,10.5,"2,104",40.5,"1,908",36.7,638,12.3,"3,715",71.5,"1,215",23.4,264,5.1,42,0.8,6,0.1,426,8.2,25,0.5,"4,527",87.2,16,0.3,239,4.6,412,7.9,0,0.0,350,6.2,390,6.9,750,13.2,757,13.3,78,1.4,41,0.7,47,0.8,56,1.0,"1,714",30.2,623,11.0,"1,091",19.2,"3,959",69.8,"3,296",58.1,663,11.7
230,Marple South and High Lane,E05000795,"5,306",444,8.4,"1,348",25.4,"2,305",43.4,"1,208",22.8,"2,395",45.1,"1,862",35.1,969,18.3,68,1.3,12,0.2,815,15.4,"2,301",43.4,"1,652",31.1,538,10.1,"3,519",66.3,"1,439",27.1,348,6.6,48,0.9,15,0.3,408,7.7,22,0.4,"4,267",80.4,65,1.2,474,8.9,496,9.3,3,0.1,337,6.5,480,9.2,750,14.4,806,15.4,100,1.9,32,0.6,41,0.8,32,0.6,"1,595",30.6,559,10.7,"1,036",19.8,"3,625",69.4,"3,125",59.9,500,9.6
231,Offerton,E05000796,"5,933",580,9.8,"1,308",22.0,"2,983",50.3,"1,062",17.9,"2,259",38.1,"1,989",33.5,"1,512",25.5,157,2.6,18,0.3,"1,146",19.3,"2,424",40.8,"1,796",30.3,569,9.6,"3,744",63.1,"1,685",28.4,504,8.5,53,0.9,42,0.7,393,6.6,23,0.4,"4,132",69.6,93,1.6,"1,141",19.2,559,9.4,8,0.1,849,13.1,"1,099",17.0,821,12.7,724,11.2,88,1.4,49,0.8,44,0.7,54,0.8,"1,958",30.2,565,8.7,"1,393",21.5,"4,521",69.8,"4,003",61.8,518,8.0
232,Reddish North,E05000797,"6,675",744,11.1,"2,457",36.8,"3,013",45.1,463,6.9,"1,670",25.0,"2,598",38.9,"2,100",31.5,277,4.1,30,0.4,"1,689",25.3,"3,220",48.2,"1,402",21.0,364,5.5,"4,416",66.2,"1,761",26.4,498,7.5,157,2.4,49,0.7,514,7.7,12,0.2,"4,018",60.2,81,1.2,975,14.6,"1,596",23.9,3,0.0,524,7.0,"1,384",18.4,"1,555",20.7,622,8.3,67,0.9,32,0.4,61,0.8,79,1.1,"2,081",27.7,620,8.2,"1,461",19.4,"5,441",72.3,"4,920",65.4,521,6.9
233,Reddish South,E05000798,"6,132",646,10.5,"2,149",35.0,"2,680",43.7,658,10.7,"1,796",29.3,"2,489",40.6,"1,671",27.2,150,2.4,27,0.4,"1,443",23.5,"2,844",46.4,"1,484",24.2,361,5.9,"4,068",66.3,"1,702",27.8,362,5.9,93,1.5,50,0.8,438,7.1,12,0.2,"4,104",66.9,44,0.7,827,13.5,"1,155",18.8,3,0.0,812,11.6,992,14.2,"1,277",18.3,530,7.6,84,1.2,34,0.5,41,0.6,55,0.8,"1,870",26.8,562,8.0,"1,308",18.7,"5,114",73.2,"4,568",65.4,546,7.8
234,Stepping Hill,E05000799,"5,543",367,6.6,"1,213",21.9,"2,686",48.4,"1,279",23.1,"2,441",44.1,"2,019",36.5,"1,023",18.5,50,0.9,5,0.1,812,14.7,"2,464",44.5,"1,800",32.5,465,8.4,"3,933",71.0,"1,321",23.8,285,5.1,56,1.0,39,0.7,391,7.1,11,0.2,"4,458",80.5,118,2.1,254,4.6,710,12.8,1,0.0,919,13.9,790,11.9,681,10.3,790,11.9,78,1.2,43,0.6,41,0.6,38,0.6,"1,827",27.6,596,9.0,"1,231",18.6,"4,802",72.4,"4,189",63.2,613,9.2
235,Ashton Hurst,E05000800,"4,757",258,5.4,"1,470",30.9,"2,183",45.9,845,17.8,"1,656",34.8,"1,608",33.8,"1,256",26.4,207,4.4,30,0.6,"1,228",25.8,"2,031",42.7,"1,129",23.7,369,7.8,"2,965",62.3,"1,393",29.3,399,8.4,36,0.8,41,0.9,404,8.5,25,0.5,"2,959",62.2,8,0.2,"1,168",24.6,617,13.0,5,0.1,661,13.5,956,19.5,692,14.1,598,12.2,101,2.1,29,0.6,43,0.9,47,1.0,"1,389",28.3,433,8.8,956,19.5,"3,516",71.7,"3,143",64.1,373,7.6
236,Ashton St Michael's,E05000801,"5,314",485,9.1,"2,312",43.5,"1,993",37.5,524,9.9,"1,188",22.4,"2,091",39.4,"1,689",31.8,299,5.6,46,0.9,"1,710",32.2,"2,350",44.2,"1,017",19.1,237,4.5,"3,461",65.1,"1,456",27.4,397,7.5,101,1.9,69,1.3,447,8.4,17,0.3,"2,922",55.0,16,0.3,886,16.7,"1,481",27.9,9,0.2,"1,204",21.2,763,13.4,714,12.6,767,13.5,88,1.5,43,0.8,30,0.5,56,1.0,"1,586",27.9,430,7.6,"1,156",20.3,"4,100",72.1,"3,698",65.0,402,7.1
237,Ashton Waterloo,E05000802,"4,870",622,12.8,"1,639",33.7,"1,985",40.8,624,12.8,"1,286",26.4,"1,721",35.3,"1,597",32.8,231,4.7,35,0.7,"1,372",28.2,"2,042",41.9,"1,106",22.7,350,7.2,"2,999",61.6,"1,441",29.6,427,8.8,51,1.0,65,1.3,467,9.6,26,0.5,"2,921",60.0,21,0.4,"1,210",24.8,715,14.7,3,0.1,731,14.7,992,19.9,792,15.9,460,9.2,78,1.6,34,0.7,37,0.7,46,0.9,"1,473",29.6,403,8.1,"1,070",21.5,"3,508",70.4,"3,153",63.3,355,7.1
238,Audenshaw,E05000803,"5,373",458,8.5,"1,501",27.9,"2,642",49.2,772,14.4,"1,773",33.0,"2,076",38.6,"1,345",25.0,161,3.0,18,0.3,"1,051",19.6,"2,429",45.2,"1,507",28.0,386,7.2,"3,683",68.5,"1,341",25.0,349,6.5,82,1.5,41,0.8,443,8.2,13,0.2,"3,841",71.5,10,0.2,786,14.6,735,13.7,1,0.0,585,9.5,"1,053",17.1,"1,116",18.1,520,8.4,73,1.2,42,0.7,53,0.9,41,0.7,"1,599",26.0,427,6.9,"1,172",19.0,"4,561",74.0,"4,067",66.0,494,8.0
239,Denton North East,E05000804,"5,071",413,8.1,"2,081",41.0,"2,139",42.2,438,8.6,"1,347",26.6,"2,109",41.6,"1,469",29.0,132,2.6,14,0.3,"1,292",25.5,"2,275",44.9,"1,187",23.4,317,6.3,"3,250",64.1,"1,442",28.4,379,7.5,78,1.5,38,0.7,446,8.8,10,0.2,"3,294",65.0,15,0.3,645,12.7,"1,109",21.9,7,0.1,710,13.5,854,16.2,989,18.8,499,9.5,59,1.1,45,0.9,35,0.7,50,1.0,"1,432",27.2,421,8.0,"1,011",19.2,"3,825",72.8,"3,406",64.8,419,8.0
240,Denton South,E05000805,"5,116",563,11.0,"1,819",35.6,"2,346",45.9,388,7.6,"1,440",28.1,"1,960",38.3,"1,532",29.9,164,3.2,20,0.4,"1,492",29.2,"2,272",44.4,"1,067",20.9,282,5.5,"3,098",60.6,"1,585",31.0,433,8.5,49,1.0,50,1.0,391,7.6,22,0.4,"2,722",53.2,35,0.7,"1,827",35.7,523,10.2,7,0.1,501,10.5,773,16.2,960,20.1,564,11.8,49,1.0,40,0.8,42,0.9,41,0.9,"1,329",27.9,376,7.9,953,20.0,"3,437",72.1,"3,114",65.3,323,6.8
241,Denton West,E05000806,"5,046",257,5.1,"1,446",28.7,"2,679",53.1,664,13.2,"1,829",36.2,"2,153",42.7,974,19.3,82,1.6,8,0.2,895,17.7,"2,300",45.6,"1,466",29.1,384,7.6,"3,362",66.6,"1,358",26.9,326,6.5,64,1.3,26,0.5,358,7.1,22,0.4,"4,063",80.5,8,0.2,326,6.5,649,12.9,0,0.0,433,7.6,933,16.4,"1,132",19.9,506,8.9,51,0.9,30,0.5,45,0.8,53,0.9,"1,430",25.2,425,7.5,"1,005",17.7,"4,244",74.8,"3,804",67.0,440,7.8
242,Droylsden East,E05000807,"5,362",566,10.6,"1,706",31.8,"2,429",45.3,661,12.3,"1,525",28.4,"2,063",38.5,"1,549",28.9,197,3.7,28,0.5,"1,484",27.7,"2,328",43.4,"1,226",22.9,324,6.0,"3,472",64.8,"1,465",27.3,425,7.9,86,1.6,41,0.8,469,8.7,46,0.9,"3,311",61.7,27,0.5,904,16.9,"1,113",20.8,7,0.1,539,9.0,988,16.4,"1,235",20.5,525,8.7,67,1.1,49,0.8,54,0.9,46,0.8,"1,605",26.7,461,7.7,"1,144",19.0,"4,415",73.3,"3,965",65.9,450,7.5
243,Droylsden West,E05000808,"4,796",243,5.1,"1,177",24.5,"3,067",63.9,309,6.4,"1,642",34.2,"1,779",37.1,"1,204",25.1,147,3.1,24,0.5,"1,227",25.6,"2,203",45.9,"1,089",22.7,277,5.8,"2,969",61.9,"1,404",29.3,424,8.8,75,1.6,41,0.9,384,8.0,9,0.2,"3,275",68.3,13,0.3,532,11.1,972,20.3,2,0.0,523,9.6,"1,019",18.7,"1,238",22.7,391,7.2,35,0.6,25,0.5,43,0.8,46,0.8,"1,557",28.6,463,8.5,"1,094",20.1,"3,889",71.4,"3,515",64.5,374,6.9
244,Dukinfield,E05000809,"5,536",794,14.3,"1,867",33.7,"2,233",40.3,642,11.6,"1,399",25.3,"2,019",36.5,"1,907",34.4,187,3.4,26,0.5,"1,583",28.6,"2,417",43.7,"1,204",21.8,331,6.0,"3,430",62.0,"1,618",29.2,488,8.8,98,1.8,62,1.1,523,9.4,17,0.3,"2,965",53.5,8,0.1,"1,567",28.3,984,17.8,13,0.2,"1,062",18.0,"1,004",17.0,884,14.9,631,10.7,72,1.2,45,0.8,36,0.6,47,0.8,"1,575",26.6,501,8.5,"1,074",18.2,"4,338",73.4,"3,892",65.8,446,7.5
245,Dukinfield Stalybridge,E05000810,"5,171",772,14.9,"1,668",32.3,"2,230",43.1,501,9.7,"1,488",28.8,"2,002",38.7,"1,543",29.8,123,2.4,15,0.3,"1,283",24.8,"2,245",43.4,"1,264",24.4,379,7.3,"3,240",62.7,"1,535",29.7,396,7.7,70,1.4,44,0.9,420,8.1,18,0.3,"3,121",60.4,26,0.5,"1,149",22.2,870,16.8,5,0.1,787,14.9,"1,042",19.7,618,11.7,639,12.1,93,1.8,37,0.7,33,0.6,57,1.1,"1,359",25.6,386,7.3,973,18.4,"3,941",74.4,"3,509",66.2,432,8.2
246,Hyde Godley,E05000811,"5,457",621,11.4,"1,964",36.0,"2,133",39.1,739,13.5,"1,414",25.9,"2,089",38.3,"1,703",31.2,206,3.8,45,0.8,"1,554",28.5,"2,275",41.7,"1,276",23.4,352,6.5,"3,348",61.3,"1,653",30.3,457,8.4,78,1.4,51,0.9,503,9.2,14,0.3,"3,075",56.3,22,0.4,"1,440",26.4,918,16.8,3,0.1,600,10.3,885,15.1,891,15.3,809,13.8,117,2.0,43,0.7,46,0.8,55,0.9,"1,720",29.4,500,8.6,"1,220",20.9,"4,124",70.6,"3,694",63.2,430,7.4
247,Hyde Newton,E05000812,"6,534",775,11.9,"1,975",30.2,"3,033",46.4,751,11.5,"1,881",28.8,"2,469",37.8,"1,942",29.7,207,3.2,36,0.6,"1,579",24.2,"2,874",44.0,"1,652",25.3,429,6.6,"4,215",64.5,"1,822",27.9,497,7.6,81,1.2,48,0.7,530,8.1,17,0.3,"3,916",59.9,18,0.3,"1,542",23.6,"1,051",16.1,7,0.1,874,12.1,"1,346",18.6,943,13.1,938,13.0,94,1.3,67,0.9,52,0.7,57,0.8,"1,878",26.0,511,7.1,"1,367",18.9,"5,342",74.0,"4,744",65.7,598,8.3
248,Hyde Werneth,E05000813,"4,774",336,7.0,"1,702",35.7,"1,989",41.7,746,15.6,"1,502",31.5,"1,838",38.5,"1,168",24.5,200,4.2,66,1.4,924,19.4,"2,050",42.9,"1,399",29.3,401,8.4,"3,197",67.0,"1,247",26.1,329,6.9,75,1.6,37,0.8,439,9.2,17,0.4,"3,464",72.6,21,0.4,425,8.9,862,18.1,1,0.0,437,8.3,676,12.9,918,17.5,744,14.1,84,1.6,34,0.6,49,0.9,42,0.8,"1,640",31.2,467,8.9,"1,173",22.3,"3,620",68.8,"3,196",60.8,424,8.1
249,Longdendale,E05000814,"4,662",325,7.0,"1,611",34.6,"2,105",45.2,619,13.3,"1,533",32.9,"1,822",39.1,"1,153",24.7,134,2.9,20,0.4,"1,128",24.2,"2,056",44.1,"1,148",24.6,330,7.1,"2,881",61.8,"1,409",30.2,375,8.0,60,1.3,43,0.9,469,10.1,20,0.4,"2,737",58.7,21,0.5,"1,249",26.8,649,13.9,5,0.1,297,6.4,523,11.3,786,17.0,804,17.4,137,3.0,40,0.9,28,0.6,30,0.6,"1,315",28.4,413,8.9,902,19.5,"3,311",71.6,"2,887",62.4,424,9.2
250,Mossley,E05000815,"5,172",438,8.5,"2,174",42.1,"1,862",36.0,695,13.4,"1,360",26.3,"2,353",45.5,"1,358",26.3,86,1.7,14,0.3,"1,056",20.4,"2,350",45.4,"1,420",27.5,346,6.7,"3,468",67.0,"1,363",26.3,343,6.6,87,1.7,29,0.6,457,8.8,17,0.3,"3,405",65.8,10,0.2,747,14.4,"1,006",19.5,4,0.1,323,5.6,729,12.7,"1,044",18.2,816,14.2,177,3.1,56,1.0,52,0.9,50,0.9,"1,471",25.7,463,8.1,"1,008",17.6,"4,263",74.3,"3,753",65.5,510,8.9
251,St Peter's (Tameside),E05000816,"6,216","1,287",20.7,"2,803",45.1,"1,611",25.9,514,8.3,844,13.6,"2,212",35.6,"2,581",41.5,451,7.3,129,2.1,"2,756",44.3,"2,492",40.1,804,12.9,164,2.6,"3,756",60.4,"2,019",32.5,441,7.1,151,2.4,121,1.9,570,9.2,20,0.3,"2,113",34.0,17,0.3,"2,448",39.4,"1,635",26.3,3,0.0,"1,035",18.5,884,15.8,919,16.4,577,10.3,84,1.5,40,0.7,30,0.5,51,0.9,"1,808",32.3,534,9.5,"1,274",22.8,"3,791",67.7,"3,445",61.5,346,6.2
252,Stalybridge North,E05000817,"5,538",685,12.4,"1,580",28.5,"2,506",45.3,767,13.8,"1,680",30.3,"1,911",34.5,"1,747",31.5,180,3.2,21,0.4,"1,580",28.5,"2,250",40.6,"1,299",23.5,407,7.4,"3,396",61.3,"1,672",30.2,470,8.5,74,1.3,52,0.9,434,7.8,20,0.4,"3,018",54.5,20,0.4,"1,632",29.5,855,15.4,12,0.2,702,12.2,944,16.4,788,13.7,811,14.1,139,2.4,34,0.6,41,0.7,51,0.9,"1,544",26.8,434,7.5,"1,110",19.3,"4,217",73.2,"3,764",65.3,453,7.9
253,Stalybridge South,E05000818,"4,763",214,4.5,"1,258",26.4,"2,114",44.4,"1,177",24.7,"1,998",41.9,"1,716",36.0,929,19.5,108,2.3,12,0.3,773,16.2,"1,983",41.7,"1,521",32.0,483,10.1,"3,268",68.6,"1,182",24.8,313,6.6,58,1.2,29,0.6,392,8.2,8,0.2,"3,399",71.4,5,0.1,640,13.4,713,15.0,5,0.1,410,7.5,"1,042",18.9,621,11.3,694,12.6,149,2.7,38,0.7,51,0.9,46,0.8,"1,503",27.3,475,8.6,"1,028",18.7,"3,997",72.7,"3,473",63.1,524,9.5
254,Altrincham,E05000819,"5,608",629,11.2,"1,669",29.8,"2,078",37.1,"1,232",22.0,"1,989",35.5,"2,154",38.4,"1,344",24.0,118,2.1,3,0.1,"1,038",18.5,"2,727",48.6,"1,556",27.8,285,5.1,"4,272",76.2,"1,124",20.0,212,3.8,55,1.0,31,0.6,379,6.8,12,0.2,"3,693",65.9,27,0.5,528,9.4,"1,357",24.2,2,0.0,700,10.5,465,7.0,548,8.2,746,11.2,163,2.5,80,1.2,71,1.1,63,0.9,"1,622",24.4,583,8.8,"1,039",15.6,"5,030",75.6,"4,263",64.1,767,11.5
255,Ashton upon Mersey,E05000820,"4,328",488,11.3,"1,069",24.7,"1,635",37.8,"1,136",26.2,"1,701",39.3,"1,586",36.6,976,22.6,62,1.4,3,0.1,750,17.3,"1,958",45.2,"1,323",30.6,297,6.9,"3,124",72.2,"1,001",23.1,203,4.7,49,1.1,20,0.5,255,5.9,7,0.2,"3,223",74.4,32,0.7,354,8.2,719,16.6,2,0.0,390,7.7,589,11.7,778,15.4,315,6.2,62,1.2,35,0.7,30,0.6,35,0.7,"1,363",27.0,483,9.6,880,17.4,"3,688",73.0,"3,158",62.5,530,10.5
256,Bowdon,E05000821,"3,739",238,6.4,815,21.8,"1,025",27.4,"1,660",44.4,"2,068",55.3,"1,084",29.0,527,14.1,52,1.4,7,0.2,449,12.0,"1,375",36.8,"1,426",38.1,489,13.1,"2,743",73.4,815,21.8,178,4.8,31,0.8,14,0.4,268,7.2,10,0.3,"2,854",76.4,17,0.5,386,10.3,480,12.8,1,0.0,297,7.5,195,4.9,295,7.4,621,15.7,147,3.7,47,1.2,52,1.3,45,1.1,"1,287",32.5,535,13.5,752,19.0,"2,674",67.5,"1,993",50.3,681,17.2
257,Broadheath (Trafford),E05000822,"5,572",279,5.0,"1,353",24.3,"2,702",48.5,"1,238",22.2,"2,075",37.2,"2,148",38.5,"1,229",22.1,108,1.9,12,0.2,746,13.4,"2,467",44.3,"1,967",35.3,392,7.0,"4,166",74.8,"1,120",20.1,286,5.1,70,1.3,19,0.3,347,6.2,9,0.2,"4,094",73.5,64,1.1,544,9.8,869,15.6,1,0.0,669,9.4,790,11.1,733,10.3,747,10.5,216,3.0,71,1.0,79,1.1,79,1.1,"1,905",26.8,615,8.6,"1,290",18.1,"5,207",73.2,"4,518",63.5,689,9.7
258,Brooklands (Trafford),E05000823,"4,203",324,7.7,630,15.0,"1,977",47.0,"1,271",30.2,"2,016",48.0,"1,381",32.9,746,17.7,56,1.3,4,0.1,534,12.7,"1,845",43.9,"1,474",35.1,351,8.3,"3,110",74.0,880,20.9,213,5.1,42,1.0,14,0.3,213,5.1,8,0.2,"3,408",81.1,3,0.1,223,5.3,566,13.5,2,0.0,345,6.9,534,10.7,733,14.7,338,6.8,102,2.0,42,0.8,34,0.7,35,0.7,"1,292",25.9,424,8.5,868,17.4,"3,693",74.1,"3,197",64.1,496,9.9
259,Bucklow-St Martins,E05000824,"4,184",294,7.0,"1,187",28.4,"2,302",55.0,402,9.6,"1,254",30.0,"1,498",35.8,"1,243",29.7,164,3.9,24,0.6,"1,100",26.3,"1,864",44.6,963,23.0,257,6.1,"2,394",57.2,"1,377",32.9,413,9.9,75,1.8,46,1.1,336,8.0,11,0.3,"2,188",52.3,44,1.1,"1,474",35.2,475,11.3,5,0.1,379,9.1,371,8.9,"1,056",25.2,620,14.8,73,1.7,35,0.8,22,0.5,43,1.0,"1,346",32.2,434,10.4,912,21.8,"2,839",67.8,"2,524",60.3,315,7.5
260,Clifford,E05000825,"5,207","1,053",20.2,"1,429",27.4,"1,834",35.2,893,17.1,"1,148",22.0,"1,465",28.1,"2,102",40.4,391,7.5,101,1.9,"2,030",39.0,"2,193",42.1,771,14.8,213,4.1,"3,446",66.2,"1,411",27.1,350,6.7,114,2.2,127,2.4,425,8.2,15,0.3,"2,018",38.8,45,0.9,"1,731",33.2,"1,400",26.9,13,0.2,606,10.3,"1,165",19.8,708,12.0,357,6.1,75,1.3,30,0.5,54,0.9,62,1.1,"2,084",35.4,703,11.9,"1,381",23.5,"3,800",64.6,"3,411",58.0,389,6.6
261,Davyhulme East,E05000826,"3,985",264,6.6,518,13.0,"2,539",63.7,664,16.7,"1,816",45.6,"1,344",33.7,762,19.1,56,1.4,6,0.2,629,15.8,"1,808",45.4,"1,215",30.5,333,8.4,"2,691",67.5,"1,017",25.5,277,7.0,48,1.2,18,0.5,265,6.6,4,0.1,"3,077",77.2,36,0.9,449,11.3,422,10.6,3,0.1,583,12.4,609,13.0,761,16.2,377,8.0,52,1.1,30,0.6,34,0.7,42,0.9,"1,213",25.9,352,7.5,861,18.4,"3,476",74.1,"3,112",66.4,364,7.8
262,Davyhulme West,E05000827,"4,108",178,4.3,590,14.4,"2,411",58.7,929,22.6,"1,936",47.1,"1,424",34.7,684,16.7,58,1.4,6,0.1,534,13.0,"1,661",40.4,"1,436",34.9,478,11.6,"2,696",65.6,"1,079",26.3,332,8.1,30,0.7,18,0.4,252,6.1,11,0.3,"3,341",81.4,37,0.9,443,10.8,282,6.9,3,0.1,447,9.2,629,12.9,825,17.0,583,12.0,68,1.4,37,0.8,13,0.3,40,0.8,"1,319",27.1,430,8.8,889,18.3,"3,546",72.9,"3,070",63.1,476,9.8
263,Flixton,E05000828,"4,604",416,9.0,844,18.3,"2,393",52.0,951,20.7,"2,009",43.6,"1,632",35.4,899,19.5,57,1.2,7,0.2,709,15.4,"1,917",41.6,"1,561",33.9,417,9.1,"3,113",67.6,"1,216",26.4,275,6.0,40,0.9,15,0.3,299,6.5,13,0.3,"3,714",80.7,37,0.8,460,10.0,393,8.5,0,0.0,465,8.8,567,10.7,803,15.2,593,11.2,97,1.8,35,0.7,25,0.5,34,0.6,"1,454",27.5,460,8.7,994,18.8,"3,828",72.5,"3,312",62.7,516,9.8
264,Gorse Hill (Trafford),E05000829,"5,065",384,7.6,"1,551",30.6,"2,690",53.1,440,8.7,"1,389",27.4,"1,966",38.8,"1,463",28.9,223,4.4,24,0.5,"1,303",25.7,"2,426",47.9,"1,080",21.3,256,5.1,"3,386",66.9,"1,340",26.5,339,6.7,83,1.6,35,0.7,423,8.4,8,0.2,"2,992",59.1,38,0.8,"1,127",22.3,905,17.9,3,0.1,681,11.4,"1,148",19.2,898,15.0,378,6.3,70,1.2,29,0.5,30,0.5,36,0.6,"1,711",28.6,533,8.9,"1,178",19.7,"4,277",71.4,"3,818",63.8,459,7.7
265,Hale Barns,E05000830,"3,820",193,5.1,475,12.4,"1,192",31.2,"1,961",51.3,"2,257",59.1,"1,020",26.7,485,12.7,44,1.2,11,0.3,376,9.8,"1,245",32.6,"1,579",41.3,619,16.2,"2,742",71.8,862,22.6,216,5.7,28,0.7,11,0.3,282,7.4,13,0.3,"3,130",82.0,5,0.1,346,9.1,335,8.8,3,0.1,210,4.9,472,11.0,371,8.6,615,14.3,161,3.7,58,1.3,91,2.1,49,1.1,"1,360",31.6,559,13.0,801,18.6,"2,943",68.4,"2,258",52.5,685,15.9
266,Hale Central,E05000831,"4,179",147,3.5,984,23.5,"1,241",29.7,"1,807",43.2,"2,178",52.1,"1,430",34.2,533,12.8,34,0.8,4,0.1,430,10.3,"1,747",41.8,"1,554",37.2,448,10.7,"3,278",78.4,745,17.8,156,3.7,31,0.7,11,0.3,275,6.6,11,0.3,"3,260",78.0,10,0.2,156,3.7,750,18.0,1,0.0,406,7.7,361,6.8,369,7.0,639,12.1,128,2.4,43,0.8,64,1.2,42,0.8,"1,446",27.3,588,11.1,858,16.2,"3,846",72.7,"2,951",55.8,895,16.9
